DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2013-Q4,36411,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2014-Q1,40442,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2014-Q2,49029,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2014-Q3,56563,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2014-Q4,63822,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2015-Q1,69991,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2015-Q2,97663,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2015-Q3,98710,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2015-Q4,103249,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2016-Q1,107597,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2016-Q2,122809,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2016-Q3,133576,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2016-Q4,132588,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2017-Q1,133763,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2017-Q2,158858,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2017-Q3,185811,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2017-Q4,201325,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2018-Q1,219495,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2018-Q2,249712,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2018-Q3,270588,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2018-Q4,277441,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2019-Q1,295904,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2019-Q2,289630,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2019-Q3,288611,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2019-Q4,275923,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2020-Q1,264952,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2020-Q2,245395,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2020-Q3,239285,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2020-Q4,224884,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2021-Q1,225629,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2021-Q2,223059,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2021-Q3,234264,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2021-Q4,226602,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2022-Q1,238953,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2022-Q2,222493,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2022-Q3,202264,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2022-Q4,187893,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2023-Q1,172422,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2023-Q2,166160,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2023-Q3,158174,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2023-Q4,151363,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2024-Q1,149590,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2024-Q2,149324,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2024-Q3,148258,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2024-Q4,143547,,
